Item_Identifier,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Gender,Age,Profession,Item_Outlet_Sales
FDA15,Low Fat,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,Male,22,Healthcare,3735.138
DRC01,Regular,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,Female,38,Engineer,443.4228
FDN15,Low Fat,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,Female,67,Engineer,2097.27
FDX07,Regular,Fruits and Vegetables,182.095,OUT010,,Tier 3,Grocery Store,Male,67,Lawyer,732.38
NCD19,Low Fat,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,Female,40,Entertainment,994.7052
FDP36,Regular,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,Male,56,Artist,556.6088
FDO10,Regular,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,Male,32,Healthcare,343.5528
FDP10,Low Fat,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,Female,33,Healthcare,4022.7636
FDH17,Regular,Frozen Foods,96.9726,OUT045,,Tier 2,Supermarket Type1,Female,61,Engineer,1076.5986
FDU28,Regular,Frozen Foods,187.8214,OUT017,,Tier 2,Supermarket Type1,Female,55,Artist,4710.535
FDY07,Low Fat,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,Female,26,Engineer,1516.0266
FDA03,Regular,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,Male,19,Healthcare,2187.153
FDX32,Regular,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,Female,19,Executive,1589.2646
FDS46,Regular,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,Male,70,Lawyer,2145.2076
FDF32,Low Fat,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,Female,58,Doctor,1977.426
FDP49,Regular,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,Female,41,Healthcare,1547.3192
NCB42,Low Fat,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,Female,32,Homemaker,1621.8888
FDP49,Regular,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,Male,31,Healthcare,718.3982
DRI11,Low Fat,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,Male,58,Entertainment,2303.668
FDU02,Low Fat,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,Female,79,Artist,2748.4224
FDN22,Regular,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,Male,49,Homemaker,3775.086
FDW12,Regular,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,Female,18,Healthcare,4064.0432
NCB30,Low Fat,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,Male,33,Artist,1587.2672
FDC37,Low Fat,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,Female,36,Artist,214.3876
FDR28,Regular,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,Female,58,Executive,4078.025
NCD06,Low Fat,Household,45.906,OUT017,,Tier 2,Supermarket Type1,Male,56,Artist,838.908
FDV10,Regular,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,Male,31,Healthcare,1065.28
DRJ59,low fat,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,Male,49,Artist,308.9312
FDE51,Regular,Dairy,45.5086,OUT010,,Tier 3,Grocery Store,Male,35,Artist,178.4344
FDC14,Regular,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,Female,35,Artist,125.8362
FDV38,Low Fat,Dairy,55.7956,OUT010,,Tier 3,Grocery Store,Female,45,Artist,163.7868
NCS17,Low Fat,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,Female,42,Doctor,2741.7644
FDP33,Low Fat,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,Male,19,Healthcare,3068.0064
FDO23,Low Fat,Breads,93.1436,OUT045,,Tier 2,Supermarket Type1,Male,26,Homemaker,2174.5028
DRH01,Low Fat,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,Female,83,Lawyer,2085.2856
NCX29,Low Fat,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,Female,27,Healthcare,3791.0652
FDV20,Regular,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,Male,32,Doctor,2797.6916
DRZ11,Regular,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,Female,28,Healthcare,1609.9044
FDX10,Regular,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,Female,28,Artist,388.1614
FDB34,Low Fat,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,Male,56,Artist,2180.495
FDU02,Low Fat,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,Female,47,Artist,3435.528
FDK43,Low Fat,Meat,126.002,OUT013,High,Tier 3,Supermarket Type1,Female,22,Healthcare,2150.534
FDA46,Low Fat,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,Female,27,Artist,2527.3768
FDC02,Low Fat,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,Female,49,Artist,6768.5228
FDL50,Regular,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,Male,40,Engineer,373.5138
FDM39,LF,Dairy,178.1002,OUT010,,Tier 3,Grocery Store,Female,79,Lawyer,358.2004
NCP05,Low Fat,Health and Hygiene,153.3024,OUT045,,Tier 2,Supermarket Type1,Male,41,Artist,2428.8384
FDV49,Low Fat,Canned,265.2226,OUT045,,Tier 2,Supermarket Type1,Female,29,Healthcare,5815.0972
FDL12,Regular,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,Male,19,Healthcare,2576.646
FDS02,Regular,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,Female,45,Engineer,780.3176
NCL17,Low Fat,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,Female,61,Artist,3134.5864
FDM40,Low Fat,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,Female,36,Artist,850.8924
FDR13,Regular,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,Male,40,Artist,810.9444
FDA43,Low Fat,Fruits and Vegetables,196.3794,OUT017,,Tier 2,Supermarket Type1,Female,57,Entertainment,3121.2704
NCP18,Low Fat,Household,151.4708,OUT017,,Tier 2,Supermarket Type1,Male,76,Marketing,4815.0656
FDK21,Low Fat,Snack Foods,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,Male,32,Artist,6258.52
NCX54,Low Fat,Household,106.1622,OUT045,,Tier 2,Supermarket Type1,Male,25,Healthcare,2117.244
DRK35,Low Fat,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,Male,32,Doctor,796.9626
FDY21,Low Fat,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,Female,45,Artist,4910.275
FDI26,Low Fat,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,Male,72,Lawyer,892.172
FDM20,Low Fat,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,Male,48,Artist,3185.1872
FDV27,Regular,Meat,87.3514,OUT045,,Tier 2,Supermarket Type1,Male,55,Artist,1062.6168
FDF09,Low Fat,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,Male,74,Lawyer,484.7024
FDY40,Regular,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,Male,56,Lawyer,147.8076
FDY45,Low Fat,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,Male,59,Lawyer,2543.356
FDC46,LF,Snack Foods,185.4266,OUT010,,Tier 3,Grocery Store,Male,25,Entertainment,184.4266
FDH19,Low Fat,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,Male,31,Doctor,4865.6664
FDZ03,Regular,Dairy,186.024,OUT045,,Tier 2,Supermarket Type1,Male,27,Artist,1118.544
DRH37,Low Fat,Soft Drinks,164.8526,OUT045,,Tier 2,Supermarket Type1,Male,57,Artist,2302.3364
NCI17,Low Fat,Health and Hygiene,95.841,OUT046,Small,Tier 1,Supermarket Type1,Female,39,Homemaker,2027.361
FDJ58,Regular,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,Male,27,Healthcare,3435.528
FDL12,Regular,Baking Goods,59.222,OUT013,High,Tier 3,Supermarket Type1,Female,51,Entertainment,599.22
FDH35,Low Fat,Starchy Foods,164.7526,OUT045,,Tier 2,Supermarket Type1,Female,47,Artist,4604.6728
FDG02,Low Fat,Canned,189.6188,OUT017,,Tier 2,Supermarket Type1,Female,33,Healthcare,2285.0256
NCZ18,low fat,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,Male,56,Artist,5580.7356
FDC29,Regular,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,Female,33,Homemaker,2290.352
FDQ10,Low Fat,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,Female,36,Doctor,1207.0954
FDN48,Low Fat,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,Male,51,Artist,643.1628
FDL04,Low Fat,Frozen Foods,104.9622,OUT017,,Tier 2,Supermarket Type1,Male,45,Engineer,1587.933
FDV25,Low Fat,Canned,222.5456,OUT045,,Tier 2,Supermarket Type1,Female,49,,5305.0944
FDD58,Low Fat,Snack Foods,101.87,OUT046,Small,Tier 1,Supermarket Type1,Male,30,Healthcare,1697.79
FDN04,reg,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,Female,26,Healthcare,1427.4752
FDV45,low fat,Snack Foods,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,Male,63,Artist,4693.89
NCL18,Low Fat,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,Male,35,Entertainment,583.2408
FDR12,Regular,Baking Goods,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,Female,19,Marketing,3091.9752
FDG20,Regular,Fruits and Vegetables,177.0028,OUT017,,Tier 2,Supermarket Type1,Male,32,Healthcare,2479.4392
FDZ55,Low Fat,Fruits and Vegetables,160.992,OUT035,Small,Tier 2,Supermarket Type1,Male,52,Artist,2716.464
FDQ49,Regular,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,Female,36,Artist,3285.723
FDN33,Regular,Snack Foods,95.6436,OUT046,Small,Tier 1,Supermarket Type1,Female,42,Entertainment,661.8052
FDN27,Low Fat,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,Male,40,Doctor,1523.3504
FDW20,Low Fat,Fruits and Vegetables,122.173,OUT010,,Tier 3,Grocery Store,Male,39,Entertainment,369.519
DRG27,Low Fat,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,Female,47,Artist,690.4346
DRI25,Low Fat,Soft Drinks,55.1614,OUT045,,Tier 2,Supermarket Type1,Female,61,Artist,1381.535
FDA44,Low Fat,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,Male,32,Entertainment,622.523
